,telephone1,storeName,uniqueID,country,city,addressLine,stateOrProvinceName,distance,postalCode,longitude,fax1,latitude,Centro de distribucion,Horario,Servicios Fotográficos,Zona,Recoger en Superfarmacia,Entrega a domicilio,Consultorio Médico,Ubicacion,thumbnail,displayStoreName
991,7222128008,SU1666,715840644,México,C-Toluca,"['Prol. 5 de Mayo #906', 'Fracc. Valle de Don Camilo']",S-Estado de México,4.40524925,50140,-99.63569,7222123721,19.27596,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTol5deMayo.jpg,5 DE MAYO
992,7222705742,SU153,715839132,México,C-Metepec,"['Gpe. Victoria Pte. #916', 'Ex Hacienda la Purísima']",S-Estado de México,4.489046781,52140,-99.62635,7222705740,19.25858,Centro de distribución noreste,Abierto las 24 horas,Disponible durante el horario de tienda,Zona 2287,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,Hora de atencion de 10 am a 5 pm,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxMetAmericas.jpg,PLAZA AMÉRICAS
993,7222158262,SU132,715839111,México,C-Toluca,"['Av. Independencia #301 OTE.', 'Centro']",S-Estado de México,4.845360281,50060,-99.65268,7222134619,19.2921,Centro de distribución noreste,Abierto las 24 horas,Disponible durante el horario de tienda,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTolIndependen.jpg,INDEPENDENCIA
994,7222131880,SU283,715839261,México,C-Toluca,"['Isidro Fabela #400-C', 'San Sebastián']",S-Estado de México,4.871103948,50090,-99.64177,7222131881,19.28701,Centro de distribución noreste,Abierto las 24 horas,Disponible durante el horario de tienda,Zona 933,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxTolIsidroFabe.jpg,ISIDRO FABELA
995,7222351629,SU1722,715840700,México,C-Metepec,"['Av. Lic. Benito Juárez García #1039 2', 'La Purísima']",S-Estado de México,4.928282878,52140,-99.62372,7222327335,19.2648,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 2287,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxMetAvJuarez.jpg,AV. JUÁREZ
996,7282884855,SU493,715839471,México,C-Ocoyoacac,"['Av. Guadalupe Victoria #7', 'San Juan Coapanoaya']",S-Estado de México,4.703749081,52746,-99.46062,7282884856,19.27241,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 2292,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxOcoyoacacGpeV.jpg,OCOYOACAC
997,5558794147,SU670,715839648,México,C-Coacalco de Berriozábal,"['Av. de las Dalias #226', 'Zacuautitla']",S-Estado de México,2.294342513,55700,-99.09382,5558794152,19.64295,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 916,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxCoacPzaDalias.jpg,PLAZA LAS DALIAS
998,5510393446,SU429,715839407,México,C-Coacalco de Berriozábal,"['Enrique Millán Cejudo #263 LOC. 5-8', 'Unidad Habitacional San Rafael']",S-Estado de México,2.976554244,55719,-99.08694,5510393591,19.64385,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 916,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxCoacPabellon.jpg,PABELLÓN
999,5526477159,SU457,715839435,México,C-Coacalco de Berriozábal,"['Blvd. de las Flores #354A', 'Villa de las Flores']",S-Estado de México,3.053500011,55710,-99.08912,5526477158,19.64861,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 916,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxCoacVFlores.jpg,VILLA DE LAS FLORES
1000,5558914517,SU1110,715840088,México,C-Coacalco de Berriozábal,"['Av. Presidentes #61', 'San Lorenzo Tetlixtac']",S-Estado de México,3.88557267,55714,-99.0778,5558914526,19.64448,Centro de distribución noreste,Abierto las 24 horas,No cuenta con servicio de Kromi,Zona 916,No cuenta con recolección en tienda,No cuenta con servicio a domicilio,No cuenta con consultorio.,FORANEA,https://www.movil.farmaciasguadalajara.com/wcsstore/FGSAS/wcs/stores/store_MxCoacPresident.jpg,AV. PRESIDENTES
